Nom de l’agence,Téléphone de l’agence,Email de l’agence,Horaires,Site web,Avis,Indépendant ou Franchise,Ville / département,Gérant,Tel du gérant,Email du gérant,Source de l’agence,Source du gérant,Date de vérification
Agence Principale Pontoise,+33 1 34 20 52 52,,,https://www.agenceprincipalepontoise.com/,,Indépendante,"12 Pl. du Pont, 95000 Pontoise, France",,,,Site web/leboncoin,,2026-09-07
Agence Principale Rueil-Malmaison,+33 1 47 10 01 01,,,http://www.agenceprincipalerueilmalmaison.com/,,Indépendante,"144 Av. Paul Doumer, 92500 Rueil-Malmaison, France",,,,Site web/leboncoin,,2026-09-07
AGENCE PRINCIPALE SAINT GERMAIN EN LAYE,+33 1 39 04 09 09,,,http://www.agenceprincipale.com/,,Indépendante,"98 Rue Léon Désoyer, 78100 Saint-Germain-en-Laye, France",,,,Site web/leboncoin,,2026-09-07
AGENCE PRINCIPALE SARTROUVILLE,+33 1 39 13 12 21,,,http://www.agenceprincipalesartrouville.com/,,Indépendante,"46 Av. Jean Jaurès, 78500 Sartrouville, France",,,,Site web/leboncoin,,2026-09-07
Agence PROS DU LOGIS,+33 1 69 90 73 60,,,http://prosdulogis.fr/,,Indépendante,"Mail de Thorigny, 91080 Évry-Courcouronnes, France",,,,Site web/leboncoin,,2026-09-07
Agence Rapp,+33 3 89 41 93 18,,,http://www.agencerapp.fr/,,Indépendante,"4 Pl. de la Cathédrale, 68000 Colmar, France",,,,Site web/leboncoin,,2026-09-07
Agence Republic Albertville,+33 4 57 35 03 92,,,https://www.agencerepublic.fr/,,Indépendante,"57 Rue de la République, 73200 Albertville, France",,,,Site web/leboncoin,,2026-09-07
AGENCE REPUBLIQUE,+33 3 25 05 05 05,,,https://www.repimmo-saintdiz.fr/,,Indépendante,"102 Av. de la République, 52100 Saint-Dizier, France",,,,Site web/leboncoin,,2026-09-07
AGENCE RESIDENCE CROISETTE,+33 4 93 94 03 04,,,http://www.residencecroisette.com/,,Indépendante,"81 Bd de la Croisette, 06400 Cannes, France",,,,Site web/leboncoin,,2026-09-07
Agence Robin Sarl,+33 1 48 48 10 92,,,http://www.robinimmobilier.com/,,Indépendante,"65 Bd Pasteur, 93320 Les Pavillons-sous-Bois, France",,,,Site web/leboncoin,,2026-09-07
Agence Romy,+33 1 39 50 03 43,,,http://www.agenceromy.com/?utm_source=gmb,,Indépendante,"71 Rue de la Paroisse, 78000 Versailles, France",,,,Site web/leboncoin,,2026-09-07
Agence Royale,+33 1 34 51 51 51,,,https://www.agence-royale.fr/,,Indépendante,"6 Rue de la République, 78100 Saint-Germain-en-Laye, France",,,,Site web/leboncoin,,2026-09-07
Agence Saint Martin,+33 1 83 92 62 64,,,https://www.saintmartinimmo.com/en/about-us,,Indépendante,"27 Bd Saint-Martin, 75003 Paris, France",,,,Site web/leboncoin,,2026-09-07
AGENCE SAINT SIMON,+33 1 39 51 75 16,,Du lundi au vendredi : 10h00–12h30 et 13h30–18h00. Samedi et dimanche : non communiqué.,http://agencesaintsimon.fr/SaintSimon21,46 avis de transaction sont signalés par la FNAIM ; des avis contrôlés sont également publiés par Opinion System. Les retours disponibles soulignent le professionnalisme et la qualité du suivi de l’Agence Saint Simon.,Indépendante,"16 Rue du Général Leclerc, 78000 Versailles, France",Jérôme BREVIER,,j.brevier@agencesaintsimon.fr,Site web/leboncoin,,2026-09-07
agence services immobilier l'aigle,+33 2 33 24 15 68,,,http://www.asi-immo.com/,,Indépendante,"17 Rue de Bec Ham, 61300 L'Aigle, France",,,,Site web/leboncoin,,2026-09-07
Agence Sixième Avenue Vallée de Chevreuse,+33 1 30 47 16 19,,,https://saintremyleschevreuse.sixiemeavenue.com/,,Indépendante,"12 Av. du Général Leclerc, 78470 Saint-Rémy-lès-Chevreuse, France",,,,Site web/leboncoin,,2026-09-07
Agence Strasbourg Immobilière,+33 3 88 43 11 43,,,https://www.asi67.com/,,Indépendante,"200 Av. de Colmar, 67100 Strasbourg, France",,,,Site web/leboncoin,,2026-09-07
Agence SUFFREN IMMO,+33 1 40 56 07 07,,,http://www.suffrenimmo.com/,,Indépendante,"82 Av. de Suffren, 75015 Paris, France",,,,Site web/leboncoin,,2026-09-07
Agence Suffren Immobilier,+33 1 40 56 07 07,,,http://www.suffrenimmo.com/,,Indépendante,"82 Av. de Suffren, 75015 Paris, France",,,,Site web/leboncoin,,2026-09-07
Agence THE NEW AGENCY LA NOUVELLE AGENCE,+33 9 80 80 07 71,,,http://www.thenewagency.fr/,,Indépendante,"4 Pl. Noël Blache, 83000 Toulon, France",,,,Site web/leboncoin,,2026-09-07
Agence Valentin,+33 3 87 73 42 12,,,https://www.agencevalentin.com/,,Indépendante,"18 Rue Saint-Livier, 57000 Metz, France",,,,Site web/leboncoin,,2026-09-07
Agencia,+33 6 68 88 38 08,,,http://www.agenciaimmo.fr/,,Indépendante,"81 Av. de Saint-Louis, 13015 Marseille, France",,,,Site web/leboncoin,,2026-09-07
AGENCITY TORCY,+33 1 64 11 20 15,,,http://www.agencity.com/,,Indépendante,"34 Rue de Paris, 77200 Torcy, France",,,,Site web/leboncoin,,2026-09-07
Agency Immo,+33 1 48 12 21 21,,,https://www.agencyimmobilier.fr/,,Indépendante,"53 Av. du Raincy, 93250 Villemomble, France",,,,Site web/leboncoin,,2026-09-07
AGENCY IMMOBILIER,+33 1 48 12 21 21,,,https://www.agencyimmobilier.fr/,,Indépendante,"53 Av. du Raincy, 93250 Villemomble, France",,,,Site web/leboncoin,,2026-09-07
Agent sur Mesure,+33 1 86 04 04 86,,,https://www.agentsurmesure.fr/,,Indépendante,"49 Bd Saint-Germain, 75005 Paris, France",,,,Site web/leboncoin,,2026-09-07
AGEVEDIM IMMOBILIER,+33 1 48 76 68 63,,,https://davidgestion-nogent.gercop-extranet.com/connexion,,Indépendante,"10 Rue Brillet, 94130 Nogent-sur-Marne, France",,,,Site web/leboncoin,,2026-09-07
AGI92 - Chasseur immobilier,+33 6 18 58 23 50,,,http://www.agi92.fr/,,Indépendante,"293-295 Bd Saint-Denis, 92400 Courbevoie, France",,,,Site web/leboncoin,,2026-09-07
Agier & Associés,+33 1 47 66 44 00,,,http://www.agier-associes.fr/,,Indépendante,"88 Av. de Villiers, 75017 Paris, France",,,,Site web/leboncoin,,2026-09-07
Agora immobilier Thionville,+33 3 82 54 77 77,,,http://www.agoraimmobilier.com/,,Indépendante,"11 Rue de Villars, 57100 Thionville, France",,,,Site web/leboncoin,,2026-09-07
AGS Immo A2G,+33 1 48 28 37 37,,,http://agsimmo.fr/,,Indépendante,"1 Rue Mademoiselle, 75015 Paris, France",,,,Site web/leboncoin,,2026-09-07
AIFD Immobilier,+33 6 12 04 07 69,,,http://www.aifd-immobilier.fr/?utm_source=gmb,,Indépendante,"17 Rue de la Poste, 69970 Chaponnay, France",,,,Site web/leboncoin,,2026-09-07
Aixoise Immobilière,+33 4 42 91 28 28,,,https://www.aixoise-immobiliere.com/,,Indépendante,"19 Rue du 4 Septembre, 13100 Aix-en-Provence, France",,,,Site web/leboncoin,,2026-09-07
AIXTY Immobilier | Gestion - Location - Transaction immobilières,+33 4 42 12 38 92,,,https://www.aixty.com/,,Indépendante,"1695 Rte d'Eguilles, 13090 Aix-en-Provence, France",,,,Site web/leboncoin,,2026-09-07
AJC IMMO+ Agence immobilière Haguenau,+33 3 90 59 48 00,,,http://www.ajc-immo-plus.fr/,,Indépendante,"8 Rue du Grand Rabbin Joseph Bloch, 67500 Haguenau, France",,,,Site web/leboncoin,,2026-09-07
AJC Immobilier,+33 1 43 81 34 81,,,https://www.agence-ajc.com/,,Indépendante,"30 Av. de la Résistance, 93340 Le Raincy, France",,,,Site web/leboncoin,,2026-09-07
Ajouter,+33 7 68 83 89 88,,,http://www.agcem.info/,,Indépendante,,,,,Site web/leboncoin,,2026-09-07
AK IMMO,+33 1 60 27 92 76,,,http://www.akimmo.fr/,,Indépendante,"129 Av. Eugène Varlin, 77270 Villeparisis, France",,,,Site web/leboncoin,,2026-09-07
Alerte Immo,+33 3 20 15 04 04,,,http://www.alerteimmobilier.fr/,,Indépendante,"81 Rue de la Barre, 59800 Lille, France",,,,Site web/leboncoin,,2026-09-07
"Alexandre Auger - Conseiller Immobilier, Le Klub | Aix en Provence",+33 7 88 82 22 70,,,https://immoklub.fr/,,Indépendante,"1 allée du square, 13290 Aix-en-Provence, France",,,,Site web/leboncoin,,2026-09-07
Alexandre Gartiser Immobilier,+33 6 06 99 00 11,,,https://www.alexandre-gartiser.com/,,Indépendante,"2 Rue des Mésanges, 67460 Souffelweyersheim, France",,,,Site web/leboncoin,,2026-09-07
Alexis HARTUNG Immobilier,+33 6 69 25 14 08,,,https://estimation01.fr/,,Indépendante,"423 Chem. des Champeys, 01310 Polliat, France",,,,Site web/leboncoin,,2026-09-07
Alice Lutete Immo,+33 6 61 86 45 62,,,https://www.aliceluteteimmo.com/,,Indépendante,,,,,Site web/leboncoin,,2026-09-07
Alliance Immo 78,+33 1 85 76 20 20,,,http://www.alliance-immo-78.fr/,,Indépendante,"1100 Av. du Général de Gaulle, 78370 Plaisir, France",,,,Site web/leboncoin,,2026-09-07
Alloun Invest Company,+33 4 96 16 06 00,,,https://www.alloun-invest.com/,,Indépendante,"24 Av. du Prado Entrée 2, 13008 Marseille, France",,,,Site web/leboncoin,,2026-09-07
ALP,+33 6 51 31 22 55,,,https://alp-immobilier.com/,,Indépendante,"3 Rue Aristide Briand, 84110 Vaison-la-Romaine, France",,,,Site web/leboncoin,,2026-09-07
Alpesvente : Portes du Soleil & Haute-Savoie,+33 6 79 02 03 62,,,"https://www.alpesvente.com/agence-immobiliere-saint-jean-d-aulps,144",,Indépendante,"1852 Rte des Grandes Alpes, 74430 Saint-Jean-d'Aulps, France",,,,Site web/leboncoin,,2026-09-07
ALTEA IMMOBILIER,+33 6 64 43 61 07,,,http://www.altea-paris.com/,,Indépendante,"11 Rue Marie Doffe, 92140 Clamart, France",,,,Site web/leboncoin,,2026-09-07
ALTEAINVEST,+34 966 88 02 33,,,https://www.alteainvest.com/,,Indépendante,"Passeig del Mediterrani, 4, 03590 Altea, Alicante, Espagne",,,,Site web/leboncoin,,2026-09-07
ALTIXIMMO33 SAINT LOUBES,+33 5 56 68 65 65,,,https://www.altiximmo33.fr/,,Indépendante,"66 Av. de la République, 33450 Saint-Loubès, France",,,,Site web/leboncoin,,2026-09-07
ALTKIRCH IMMOBILIER,+33 3 89 08 89 08,,,http://www.altkirch-immo.com/?utm_source=gmb,,Indépendante,"11 Rue J J Henner, 68130 Altkirch, France",,,,Site web/leboncoin,,2026-09-07
AMALIA FRANCE,+33 3 27 70 26 00,,,https://www.amaliafrance.fr/,,Indépendante,"39b Rue Sadi Carnot entrée 3, 59400 Cambrai, France",,,,Site web/leboncoin,,2026-09-07
AMBELHA,+33 2 38 73 44 13,,,http://www.ambelha.com/,,Indépendante,"11 Rue d'Illiers, 45000 Orléans, France",,,,Site web/leboncoin,,2026-09-07
Ambre Ané - Agent Commercial en Immobilier,+33 7 87 48 07 61,,,https://ambre-ane.agentkw.fr/,,Indépendante,,,,,Site web/leboncoin,,2026-09-07
AMC IMMO,+33 3 88 29 74 39,,,http://www.amc-immo.fr/,,Indépendante,"4 Rue Jean Monnet, 67201 Eckbolsheim, France",,,,Site web/leboncoin,,2026-09-07
AMV92 - Agence Du Marché des Vallées,+33 1 47 86 92 92,,,http://www.amv92.com/,,Indépendante,"La, 12 Av. Joseph Froment, 92250 La Garenne-Colombes, France",,,,Site web/leboncoin,,2026-09-07
ANGELIMMO,+33 1 85 11 10 00,,,https://www.angelimmo95.fr/fr,,Indépendante,"85 Chau. Jules César, 95130 Franconville, France",,,,Site web/leboncoin,,2026-09-07
ANGLEDROIT.IMMO VERDUN,+33 3 29 86 98 98,,,http://www.angledroit.immo/,,Indépendante,"60 Rue Mazel, 55100 Verdun, France",,,,Site web/leboncoin,,2026-09-07
Ansel Immobilier,+33 1 47 49 49 94,,,http://www.ansel-immobilier.fr/,,Indépendante,"84 Av. du 18 Juin 1940, 92500 Rueil-Malmaison, France",,,,Site web/leboncoin,,2026-09-07
Anthony Lhermitte,+33 6 88 06 74 62,,,http://www.facilis.immo/,,Indépendante,"15 Rue de la Tranchée, 86000 Poitiers, France",,,,Site web/leboncoin,,2026-09-07
ANTIN IMMOBILIER,+33 1 47 60 02 78,,,https://www.antinimmobilier.com/,,Indépendante,"22 bis Rue Voltaire, 92250 La Garenne-Colombes, France",,,,Site web/leboncoin,,2026-09-07
Antoine HUGO - INNOVIMMO STRASBOURG,+33 7 69 19 24 14,,,https://antoine-hugo-innovimmo.my.canva.site/,,Indépendante,"2 Rue de l'Arc-en-Ciel, 67000 Strasbourg, France",,,,Site web/leboncoin,,2026-09-07
Apart Expert,+33 5 33 09 38 55,,,http://www.apartexpert.fr/,,Indépendante,"5 Rue du Golf, 33700 Mérignac, France",,,,Site web/leboncoin,,2026-09-07
APIMMO IMMOBILIER,+33 1 30 40 20 92,,,https://www.apimmo95.fr/fr/contact,,Indépendante,"26 Rue du Général de Gaulle, 95220 Herblay-sur-Seine, France",,,,Site web/leboncoin,,2026-09-07
Apm Immo,+33 7 66 73 78 34,,,https://www.apmimmo.fr/,,Indépendante,"19 Bd Barrieu, 63130 Royat, France",,,,Site web/leboncoin,,2026-09-07
Aprogim,+33 2 40 17 00 40,,,https://www.aprogim.com/,,Indépendante,"7 Rue de l'Étoile du Matin, 44600 Saint-Nazaire, France",,,,Site web/leboncoin,,2026-09-07
Arago Immobilier,+33 1 53 10 25 50,,,http://www.arago.immoscope.fr/,,Indépendante,"112 Bd Arago, 75014 Paris, France",,,,Site web/leboncoin,,2026-09-07
Aravis International Immobilier Le Grand Bornand,+33 4 50 02 17 50,,,https://www.aravisinternational.com/,,Indépendante,"52 Rte de Villavit, 74450 Le Grand-Bornand, France",,,,Site web/leboncoin,,2026-09-07
Armon Immobilier,+33 6 35 19 96 43,,,https://www.armonimmobilier.fr/,,Indépendante,"422 Rue Saint-Honoré, 75008 Paris, France",,,,Site web/leboncoin,,2026-09-07
ARNO IMMO,+33 5 63 56 95 51,,,http://www.arnoimmo.com/,,Indépendante,"14 Rue des Frères Delga, 81600 Gaillac, France",,,,Site web/leboncoin,,2026-09-07
AROLA Gestion,+33 9 72 45 16 88,,,http://www.arola-gestion.com/,,Indépendante,"9 Pl. des Cerisiers, 95160 Montmorency, France",,,,Site web/leboncoin,,2026-09-07
ARRO IMMOBILIER,+33 5 56 94 77 69,,,http://www.arro-immobilier.com/,,Indépendante,"18 Rue du Hâ, 33000 Bordeaux, France",,,,Site web/leboncoin,,2026-09-07
Arthur Winley Sainte-Geneviève,+33 3 44 08 21 90,,,https://www.arthurwinley.com/,,Indépendante,"79 Route Nationale, 60730 Sainte-Geneviève, France",,,,Site web/leboncoin,,2026-09-07
AS INVEST'IMMO 06,+33 6 22 54 06 02,,,http://www.investimmo06.com/,,Indépendante,"80 Av. de Boutiny, 06530 Peymeinade, France",,,,Site web/leboncoin,,2026-09-07
At Home In Paris,+33 1 42 12 40 40,,,http://www.athomeinparis.fr/,,Indépendante,"15 Av. de Friedland, 75008 Paris, France",,,,Site web/leboncoin,,2026-09-07
Atica,+33 6 11 22 14 05,,,https://www.atica-immobilier.fr/,,Indépendante,"34 Bd Stalingrad, 06300 Nice, France",,,,Site web/leboncoin,,2026-09-07
ATMOSPHERE,+33 1 45 25 22 25,,,http://www.agence-atmosphere.com/,,Indépendante,"18 Rue Benjamin Franklin, 75016 Paris, France",,,,Site web/leboncoin,,2026-09-07
AUTREMENT IMMO,+33 3 21 58 67 67,,,https://www.autrementimmo.com/,,Indépendante,"20 Rue aux Ours, 62000 Arras, France",,,,Site web/leboncoin,,2026-09-07
AVA Immobilier Caen,+33 2 31 99 31 13,,,https://www.ava-immo-caen.com/,,Indépendante,"35 Rue Écuyère, 14000 Caen, France",,,,Site web/leboncoin,,2026-09-07
"Ave Hoche Immobilier, agence Immobilière à PARIS 8ème",+33 1 87 04 14 44,,,https://www.avehoche-immobilier.fr/,,Indépendante,"15 Av. Hoche, 75008 Paris, France",,,,Site web/leboncoin,,2026-09-07
Avenue de l'immo,+33 3 87 15 18 18,,,http://www.avenuedelimmobilier.com/?utm_source=gmb,,Indépendante,"8 Rue Anatole France, 57300 Hagondange, France",,,,Site web/leboncoin,,2026-09-07
Avenue De L'Immobilier,+33 3 87 15 18 18,,,http://www.avenuedelimmobilier.com/?utm_source=gmb,,Indépendante,"8 Rue Anatole France, 57300 Hagondange, France",,,,Site web/leboncoin,,2026-09-07
Avi - Agence Valenciennoise Immobilière,+33 3 27 31 38 50,,,http://www.a-v-i.fr/,,Indépendante,"60 Rue Saint-Géry, 59300 Valenciennes, France",,,,Site web/leboncoin,,2026-09-07
B IMMO,+33 7 82 84 50 60,,,https://bouffletimmobilier.wixsite.com/bouffletimmobilier#,,Indépendante,"27 Av. Mac-Mahon, 75017 Paris, France",,,,Site web/leboncoin,,2026-09-07
B'Nice Immo,+33 4 89 03 65 08,,,http://b-nice-immo.la-boite-immo.com/,,Indépendante,"17 Rue Molière, 06100 Nice, France",,,,Site web/leboncoin,,2026-09-07
B&H Immobilier,+33 4 42 12 67 39,,,https://www.bhimmo.com/fr,,Indépendante,"1 Bd Carnot, 13120 Gardanne, France",,,,Site web/leboncoin,,2026-09-07
Baillet Immobilier,+33 6 09 06 39 31,,,http://www.baillet.immo/fr/location-local-cannes-tassigny-06400,,Indépendante,"1495 RN 7, 06270 Villeneuve-Loubet, France",,,,Site web/leboncoin,,2026-09-07
Balma Gestion,+33 1 45 22 97 16,,,https://www.balmagestion.fr/,,Indépendante,"10 Rue Perrée, 75003 Paris, France",,,,Site web/leboncoin,,2026-09-07
Baptiste BOYDENS,+33 7 63 95 60 22,,,https://baptisteboydens.kwagent.fr/,,Indépendante,"2 Rue Auguste Comte, 87280 Limoges, France",,,,Site web/leboncoin,,2026-09-07
Barassin Immobilier,+33 2 33 57 06 30,,,http://www.barassinimmobilier.com/,,Indépendante,"7 Rue Havin, 50000 Saint-Lô, France",,,,Site web/leboncoin,,2026-09-07
Bardon Immobilier La Garnache,+33 9 88 53 80 85,,,https://www.bardonimmobilier.fr/,,Indépendante,"9 bis Rue de Lattre de Tassigny, 85710 La Garnache, France",,,,Site web/leboncoin,,2026-09-07
Barnabé - Coaching immobilier,,,,https://barnabe-immo.fr/,,Indépendante,"60 Rue des Tournelles, 75003 Paris, France",,,,Site web/leboncoin,,2026-09-07
BAUDART IMMOBILIER,+33 3 44 10 08 08,,,http://www.baudartimmo.fr/,,Indépendante,"21 Rue de Malherbe, 60000 Beauvais, France",,,,Site web/leboncoin,,2026-09-07
BAUMAN IMMOBILIER,+33 6 52 29 83 77,,,http://aircocoon.fr/,,Indépendante,"85 Bd Félix Martin, 83700 Saint-Raphaël, France",,,,Site web/leboncoin,,2026-09-07
Be My Flat,+33 9 80 67 60 04,,,https://www.bemyflat.fr/,,Indépendante,"62 Rue du Cardinal Lemoine, 75005 Paris, France",,,,Site web/leboncoin,,2026-09-07
Bears Immo,+33 1 76 40 05 00,,Horaires non communiqués publiquement.,https://www.bearsimmo.com/,"Avis publics positifs sur Immodvisor et SeLoger, citant la transparence, l’accessibilité et le professionnalisme; note chiffrée non confirmée.",Indépendante,"2 Rue Pernety, 75014 Paris, France",Guillaume GEOFFRION,,ggeoffrion@bearsimmo.com,Site web/leboncoin,,2026-09-07
Becity Nord,+33 3 28 23 51 51,,,http://www.promodune.fr/becity-programme-immobilier/,,Indépendante,"12 Rue Lydéric, 59800 Lille, France",,,,Site web/leboncoin,,2026-09-07
Belly's Immo,+33 4 72 74 98 54,,Horaires non communiqués publiquement.,http://www.bellysimmo.fr/,"4,6/5 sur des avis vérifiés référencés par Infonet; avis citant le professionnalisme, les conseils, la réactivité et l’efficacité de Stéphane Augier.",Indépendante,"9 Bd des Brotteaux, 69006 Lyon, France",Stéphane Augier,,stephane.augier@bellys-immo.com,Site web/leboncoin,,2026-09-07
BENAC Immobilier - Coeur Lauragais - Quint-Fonsegrives,+33 5 62 16 22 73,,,http://www.benac-immobilier.com/,,Indépendante,"7 Cr Goudouli, 31130 Quint-Fonsegrives, France",,,,Site web/leboncoin,,2026-09-07
Benoit Debeunne Immobilier - Croix,+33 9 72 57 50 57,,,http://www.benoit-debeunne-immobilier.com/,,Indépendante,"39 Rue du Professeur Perrin, 59170 Croix, France",,,,Site web/leboncoin,,2026-09-07
Beragnes Immobilier Bergerac,+33 5 53 61 35 35,,,http://www.beragnes.fr/,,Indépendante,"29 Av. Paul Painlevé, 24100 Bergerac, France",,,,Site web/leboncoin,,2026-09-07
Bernat Gestion Immobilière,+33 4 94 65 23 66,,,http://www.cabinet-bernat.fr/,,Indépendante,"49 Av. Gambetta, 83400 Hyères, France",,,,Site web/leboncoin,,2026-09-07
Beuve-Méry Immobilier,+33 1 44 07 02 70,,,https://beuvemeryimmobilier.com/,,Indépendante,"17 Rue de Liège, 75009 Paris, France",,,,Site web/leboncoin,,2026-09-07
BH Immo,+33 4 42 12 67 39,,,https://www.bhimmo.com/fr,,Indépendante,"1 Bd Carnot, 13120 Gardanne, France",,,,Site web/leboncoin,,2026-09-07
Bien chez soi Immobilier,+33 4 28 29 04 41,,Agence signalée ouverte; horaires détaillés non communiqués publiquement.,http://www.bienchezsoi-immobilier.fr/,Avis publics citant la disponibilité et la qualité de l’accompagnement de Rhora Boulefrad; 1 avis affiché sur Facebook.,Indépendante,"40 Chem. de la Raude, 69160 Tassin-la-Demi-Lune, France",Rhora Boulefrad,,Rhora@bienchezsoi-immo.com,Site web/leboncoin,,2026-09-07
Biens à Nantes,+33 9 74 98 63 98,,,http://www.biensanantes.com/,,Indépendante,"9 Rue du Couëdic, 44000 Nantes, France",,,,Site web/leboncoin,,2026-09-07
Biens à Vous Immobilier - Batignolles,+33 1 58 59 02 46,,,http://www.biensavous.com/,,Indépendante,"50 Rue des Moines, 75017 Paris, France",,,,Site web/leboncoin,,2026-09-07
Bimbenet,+33 2 38 52 28 28,,,https://www.bimbenet.fr/,,Indépendante,"96 Rue Bannier, 45000 Orléans, France",,,,Site web/leboncoin,,2026-09-07
Bioui Travaux..lfkih BN salh,05 36 68 05 09,,,http://biouitravaux.com/.%20abdelghanisadik717@gmail.com,,Indépendante,"37 Rue De Berkane, Angle Amar Bnou Yassir, Oujda 60000",,,,Site web/leboncoin,,2026-09-07
BML Immobilier,+33 4 91 41 00 99,,,https://www.bmlimmobilier.fr/,,Indépendante,"201 Bd de Sainte-Marguerite, 13009 Marseille, France",,,,Site web/leboncoin,,2026-09-07
Bo Immobilier,+33 4 93 03 39 96,,,http://www.boimmobilier.com/,,Indépendante,"1175 Espl. Edmond Jouhaud, 06700 Saint-Laurent-du-Var, France",,,,Site web/leboncoin,,2026-09-07
"Bochu Immobilier | Vente, estimation | Agence de Teyran",+33 4 67 70 89 90,,,https://www.bochuimmo.com/,,Indépendante,"1 Av. de Vendargues, 34820 Teyran, France",,,,Site web/leboncoin,,2026-09-07
Bonetto Luxury-Agence immobilière de luxe et de prestige Paris- Immobilier de luxe Paris - immobilier de prestige Paris,+33 6 76 84 45 88,,,http://www.bonettoluxury.com/,,Indépendante,"231 Rue Saint-Honoré, 75001 Paris, France",,,,Site web/leboncoin,,2026-09-07
Boulle Immobilier,+33 3 88 55 00 91,,,https://www.boulle-immobilier.com/,,Indépendante,"1 Rue du Parc, 67300 Schiltigheim, France",,,,Site web/leboncoin,,2026-09-07
Boulle Immobilier Strasbourg,+33 3 88 55 00 91,,,http://www.boulle-immobilier.fr/,,Indépendante,"67 Rte du Polygone, 67100 Strasbourg, France",,,,Site web/leboncoin,,2026-09-07
BOURDEILH Immobilier,+33 5 53 53 14 93,,,https://www.bourdeilh-immobilier.com/,,Indépendante,"87 Av. Maréchal Juin, 24000 Périgueux, France",,,,Site web/leboncoin,,2026-09-07
Brique et Pastel Immobilier,+33 6 68 08 28 16,,,http://www.brique-pastel.com/,,Indépendante,"38 bis impasse des espérances, 31860 Villate, France",,,,Site web/leboncoin,,2026-09-07
Brokeys,+33 6 14 69 53 07,,,https://brokeys.fr/,,Indépendante,"530 Rue Raymond Recouly, 34070 Montpellier, France",,,,Site web/leboncoin,,2026-09-07
BRUN IMMOBILIER S.A.S,+33 4 66 21 85 86,,,http://www.brunimmobilier.fr/,,Indépendante,"44 Bd Victor Hugo, 30000 Nîmes, France",,,,Site web/leboncoin,,2026-09-07
Bruno immobilier,+33 3 22 27 27 27,,,https://www.brunoimmobilier.fr/,,Indépendante,"27 Rue de la Prte du Pont, 80550 Le Crotoy, France",,,,Site web/leboncoin,,2026-09-07
BSGI,+33 1 64 62 11 11,,,https://www.bsgi.fr/?utm_source=gmb,,Indépendante,"4 All. Jean-Baptiste Colbert, 77200 Torcy, France",,,,Site web/leboncoin,,2026-09-07
Building Partners – Agence immobilière Levallois-Perret,+33 1 47 31 01 74,,,https://www.bpimmo.com/,,Indépendante,"65 Rue du Président Wilson, 92300 Levallois-Perret, France",,,,Site web/leboncoin,,2026-09-07
BVBA Immobilier,+33 2 40 68 05 53,,,http://www.bvbaimmobilier.com/,,Indépendante,"52 Bd Ernest Dalby, 44000 Nantes, France",,,,Site web/leboncoin,,2026-09-07
C MA Maison IMMO,+33 6 72 20 41 49,,,https://www.cmamaison-immo.fr/,,Indépendante,,,,,Site web/leboncoin,,2026-09-07
C NEUF IMMOBILIER,+33 5 46 28 02 02,,Du lundi au vendredi: 9h00–12h00 et 14h00–18h00.,http://www.cneufimmobilier.com/,C Neuf Immobilier accompagne des projets d’immobilier neuf et de défiscalisation. Les sources publiques mettent en avant l’expertise de Didier Caturla dans ce domaine et sa capacité à conseiller les clients sur des opérations nécessitant des explications techniques et financières. Aucun volume d’avis fiable n’a été confirmé; éviter d’utiliser une note chiffrée dans les messages.,Indépendante,"39 Quai Valin, 17000 La Rochelle, France",DIDIER CATURLA,,d.caturla@cneuf-immobilier.fr,Site web/leboncoin,,2026-09-07
C.O.I Corinne Orbach Immobilier,+33 1 45 77 98 54,,,http://www.agence-coi.com/,,Indépendante,"113 Rue St Charles 111, 75015 Paris, France",,,,Site web/leboncoin,,2026-09-07
C2i SUD OUEST,+33 5 31 61 82 30,,,http://www.c2i-sudouest.com/,,Indépendante,"31/31 Bis Rue des Amidonniers, 31000 Toulouse, France",,,,Site web/leboncoin,,2026-09-07
C3 Immobilier,+33 3 23 84 08 35,,,https://www.c3immobilier.fr/,,Indépendante,"26 Rue Carnot, 02400 Château-Thierry, France",,,,Site web/leboncoin,,2026-09-07
Cabinet Alary Agence du Palais,+33 6 37 53 14 46,,,https://cabinetalary.wixsite.com/agencedupalais,,Indépendante,"14 Bd Laromiguière, 12000 Rodez, France",,,,Site web/leboncoin,,2026-09-07
Cabinet Alliance,+33 1 72 97 32 08,,,https://www.caimmofrance.fr/,,Indépendante,"6 Av. Alexandre Ribot, 77000 Melun, France",,,,Site web/leboncoin,,2026-09-07
Cabinet B. Richard,+33 4 78 29 50 50,,,http://www.regierichard.fr/,,Indépendante,"69 Rue Tronchet, 69006 Lyon, France",,,,Site web/leboncoin,,2026-09-07
Cabinet Bachellerie,+33 4 91 49 23 51,,,http://www.bachellerie.immo/,,Indépendante,"9 Av. de Saint-Julien, 13012 Marseille, France",,,,Site web/leboncoin,,2026-09-07
Cabinet Betito,+33 1 57 40 77 90,,,http://www.cabinet-betito.com/,,Indépendante,"14 Rue Notre Dame de Nazareth, 75003 Paris, France",,,,Site web/leboncoin,,2026-09-07
Cabinet Brivet Raffin,+33 4 70 35 05 33,,,https://www.cabinetbrivet-raffin.fr/,,Indépendante,"20 Rue Régemortes, 03000 Moulins, France",,,,Site web/leboncoin,,2026-09-07
